Provider      ,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018
Comcast       ,3.54    ,3.49    ,3.47    ,3.5     ,3.57    ,3.57    ,3.67    ,3.84    ,3.83    ,3.87    ,3.94    ,3.92    ,3.96    ,3.96    ,4.05    ,3.99    ,3.99    ,3.88    ,3.96    ,3.98    ,4.0     ,4.0     ,4.06    ,4.15    ,4.1
Cox           ,3.62    ,3.55    ,3.55    ,3.57    ,3.63    ,3.6     ,3.64    ,3.73    ,3.71    ,3.74    ,3.8     ,3.79    ,3.84    ,3.81    ,3.87    ,3.81    ,3.9     ,3.82    ,3.91    ,3.91    ,3.9     ,3.95    ,4.02    ,4.07    ,4.03
AT&T - U-verse,3.37    ,3.35    ,3.36    ,3.39    ,3.41    ,3.46    ,3.5     ,3.51    ,3.48    ,3.54    ,3.58    ,3.59    ,3.65    ,3.65    ,3.73    ,3.77    ,3.81    ,3.77    ,3.83    ,3.82    ,3.77    ,3.87    ,3.92    ,3.94    ,3.95
Verizon - FiOS,3.64    ,3.61    ,3.61    ,3.62    ,3.7     ,3.69    ,3.7     ,3.81    ,3.72    ,3.84    ,3.87    ,3.84    ,3.92    ,3.83    ,3.93    ,3.89    ,3.92    ,3.8     ,3.86    ,3.89    ,3.89    ,3.97    ,4.04    ,4.02    ,3.93
Optimum       ,3.61    ,3.56    ,3.55    ,3.58    ,3.67    ,3.65    ,3.68    ,3.8     ,3.79    ,3.82    ,3.86    ,3.81    ,3.85    ,3.81    ,3.89    ,3.86    ,3.89    ,3.77    ,3.86    ,3.88    ,3.88    ,3.92    ,3.98    ,3.99    ,3.91
Mediacom      ,3.48    ,3.43    ,3.42    ,3.44    ,3.48    ,3.47    ,3.53    ,3.61    ,3.6     ,3.67    ,3.7     ,3.69    ,3.73    ,3.73    ,3.79    ,3.77    ,3.8     ,3.75    ,3.8     ,3.82    ,3.85    ,3.87    ,3.94    ,3.95    ,3.89
Suddenlink    ,3.38    ,3.33    ,3.33    ,3.36    ,3.41    ,3.41    ,3.45    ,3.5     ,3.51    ,3.57    ,3.63    ,3.62    ,3.65    ,3.65    ,3.72    ,3.7     ,3.69    ,3.65    ,3.71    ,3.71    ,3.73    ,3.76    ,3.84    ,3.87    ,3.83
Frontier      ,2.93    ,2.91    ,2.91    ,2.92    ,2.97    ,2.94    ,2.96    ,3.02    ,3.0     ,3.04    ,3.09    ,3.1     ,3.15    ,3.17    ,3.21    ,3.18    ,3.2     ,3.15    ,3.22    ,3.25    ,3.27    ,3.31    ,3.36    ,3.4     ,3.39
CenturyLink   ,1.66    ,1.61    ,1.69    ,1.88    ,1.95    ,2.11    ,2.55    ,2.79    ,2.92    ,2.98    ,3.02    ,3.03    ,3.09    ,3.11    ,3.16    ,3.15    ,3.17    ,3.15    ,3.2     ,3.22    ,3.24    ,3.29    ,3.36    ,3.4     ,3.38
Windstream    ,2.45    ,2.43    ,2.44    ,2.5     ,2.62    ,2.64    ,2.67    ,2.7     ,2.7     ,2.77    ,2.82    ,2.82    ,2.88    ,2.89    ,2.94    ,2.97    ,2.99    ,3.01    ,3.09    ,3.13    ,3.14    ,3.21    ,3.3     ,3.35    ,3.33
Verizon - DSL ,1.96    ,2.33    ,2.42    ,2.44    ,2.52    ,2.52    ,2.54    ,2.6     ,2.58    ,2.67    ,2.69    ,2.7     ,2.96    ,2.94    ,2.89    ,3.0     ,3.05    ,3.0     ,3.12    ,3.17    ,3.19    ,3.22    ,3.16    ,3.18    ,3.15
AT&T - DSL    ,2.69    ,2.68    ,2.63    ,2.68    ,2.78    ,2.72    ,2.77    ,2.9     ,2.85    ,2.94    ,2.97    ,2.98    ,3.05    ,2.97    ,3.02    ,2.93    ,2.89    ,2.81    ,2.83    ,2.84    ,2.77    ,2.87    ,2.86    ,2.92    ,2.87
